"Sample_label" "Expedition" "Station" "Date" "Latitude" "Longitude" "Layer" "Environmental_feature" "Depth" "Marine_biome" "Ocean_and_sea_region" "Biogeographical_province" "Temperature_median" "Nitrogen" "Ammonium_mean" "Nitrate_median" "Nitrate_mean" "Nitrite_median" "Nitrite_mean" "Nitrate_and_Nitrite_median" "Phosphate" "Silicate" "Iron_concentration_PISCES2" "Iron_concentration_ECCO2.DARWIN" "Iron_mean_5m" "Oxygen" "Salinity" "Sigma_theta" "Chlorophyll_a_concentration" "Chlorophyll_a_fluo" "Particulate_organic_carbon" "Particulate_inorganic_carbon" "Residence_time" "Conductivity" "PAR_1d_avg" "PAR_8d_avg" "PAR_30d_avg" "Season" "Season_phase" "Distance_to_coast" "Angular_scattering_coefficient" "Optical_backscattering_coefficient" "Backscattering_coefficient_particles" "Fluorescence" "Optical_beam_attenuation_coefficient" "Beam_attenuation_coefficient_particles" "Sunshine_duration" "Sea_ice_concentration_." "Sea_Ice_free_period" "Polar" "Okubo.Weiss_parameter" "Maximum_Lyapunov_exponent" "pH" "Total_Alkalinity" "Bicarbonate_ion" "Carbonate_ion" "Total_Carbon" "Aragonite_saturation_state" "Calcite_saturation_state" "Carbon_dioxide" "Carbon_dioxide_partial_pressure" "Mixed_layer_depth" "Brunt_Vaisala_maximum_depth" "Max_O2_depth" "Min_O2_depth" "Nitracline_depth" "Sea_surface_temperature_gradient" "Chlorophyll_c3" "Chlorophyll_c1_c2" "Chlorophyllide_a" "Peridinin" "Phaeophorbide_a" "X19.Butanoyloxyfucoxanthin" "Fucoxanthin" "Neoxanthin" "Prasinoxanthin" "Violaxanthin" "X19.Hexanoyloxyfucoxanthin" "Diadinoxanthin" "Alloxanthin" "Diatoxanthin" "Zeaxanthin" "Lutein" "Bacteriochlorophyll_a" "Divinyl_chlorophyll_b" "Chlorophyll_b" "Chlorophyll_b_plus_divinyl_chlorophyll_b" "Divinyl_chlorophyll_a" "Chlorophyll_a" "Chlorophyll_a_total" "Phaeophytin_a" "Carotene"
"133SUR1GGMM14" "133SUR" "Tara Oceans Expedition (2009-2013)" "TARA_133" "2011-10-18T15:35" 35.3671 -127.7422 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Westerlies Biome" "[NPO] North Pacific Ocean (MRGID:1908)" "[NPST] North Pacific Subtropical and Polar Front Provinces (MRGID:21484)" 19.24802 NA 0.019672674 0 0.004801808 0.002 0.010027013 0.011 0.2925 1.95475 0.061 0.164223572 0.000164224 223.159 33.07013 23.48431 27.0308 0.140785 66.5130806 0.000325864 41.555556 44.830135 19.106109 13.945848 15.962489 "autumn" "early" 515.9687 0.000405 0.001156 0.002794 1.791365 0.147345 0.099243 674 0 365 "non polar" -0.465615 0.043359 NA 0.0022 0 0.01845 0.00805 0.0025 0.00045 NA NA 11 41 33 532 95 0.87662 0.01025 0.0159 0 0.00815 0 0.01845 0.00805 0.0022 0.00045 0.0025 0.0398 0.0165 0.00065 0.0035 0.07185 0.00505 0.001 0 0.0218 0.0218 0.04715 0.12275 0.1699 0.0024 0.011
"134SUR2GGMM14" "134SUR" "Tara Oceans Expedition (2009-2013)" "TARA_134" "2011-10-22T14:52" 32.7526 -122.0013 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Coastal Biome" "[NPO] North Pacific Ocean (MRGID:1908)" "[OCAL] Offshore California Current (MRGID:21493)" 17.46236 NA 0.023116545 0 0.563421163 0.015167 0.018942721 0.029292 0.288583 1.223291 0.157 0.0309 3.0918e-05 226.8945 33.468295 24.22939 30.4419 0.253087 NA NA 47.527778 43.585026 8.648973 9.170422 13.394831 "autumn" "early" 304.2174 0.000423 0.001278 0.002925 2.173314 0.188062 0.125806 671 0 365 "non polar" -0.987565 0.03401 NA 0.00825 0 0.0643 0.0308 0.00555 0.00475 NA NA 31 41 13 631 39 0.12666 0.03535 0.0558 0 0.01055 0 0.0643 0.0308 0.00825 0.00475 0.00555 0.1048 0.02065 0.004 0.00375 0.0889 0.00975 0.00135 0 0.06865 0.06865 0.09255 0.34095 0.4335 0.00755 0.02135
"135DCM1GGMM14" "135DCM" "Tara Oceans Expedition (2009-2013)" "TARA_135" "2011-10-23T21:22" 32.931 -121.8645 "DCM" "[DCM] deep chlorophyll maximum layer (ENVO:01000326)" "30" "Coastal Biome" "[NPO] North Pacific Ocean (MRGID:1908)" "[OCAL] Offshore California Current (MRGID:21493)" 16.2703 NA 0.022733899 0.065956 0.539206756 0.128209 0.020362165 1.011 0.370333 1.615166 0.153 NA 3.3604e-05 226.2744 33.417845 24.46531 24.0407 0.267761 NA NA 41.666667 42.406729 0.390236 0.444976 0.39443 "autumn" "middle" 167.4781 0.000483 0.001691 0.00334 2.413609 0.194808 0.12338 669 0 365 "non polar" -1.155182 0.047316 NA 0.0271 0 0.1078 0.09525 0.0073 0.0147 NA NA 30 43 13 511 38 1.4971 0.0798 0.0889 0 0.0254 0 0.1078 0.09525 0.0271 0.0147 0.0073 0.1553 0.01615 0.00655 0.00175 0.06065 0.009 0.0016 0.02225 0.1439 0.1661 0.08275 0.59435 0.6652 0.014 0.03015
"135SUR1GGMM14" "135SUR" "Tara Oceans Expedition (2009-2013)" "TARA_135" "2011-10-23T14:24" 32.9986 -121.7698 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Coastal Biome" "[NPO] North Pacific Ocean (MRGID:1908)" "[OCAL] Offshore California Current (MRGID:21493)" 17.46236 NA 0.022733899 0 0.539206756 0.015167 0.020362165 0.029292 0.288583 1.223291 0.32 0.0336 3.3604e-05 226.8945 33.468295 24.22939 20.9699 0.253087 NA NA 41.666667 43.585026 7.813335 8.055013 8.629321 "autumn" "early" 215.5801 0.000423 0.001278 0.002925 2.173314 0.188062 0.125806 669 0 365 "non polar" -1.155182 0.047316 NA 0.00825 0 0.0643 0.0308 0.00555 0.00475 NA NA 33 44 14 679 43 0.6662 0.03535 0.0558 0 0.01055 0 0.0643 0.0308 0.00825 0.00475 0.00555 0.1048 0.02065 0.004 0.00375 0.0889 0.00975 0.00135 0 0.06865 0.06865 0.09255 0.34095 0.4335 0.00755 0.02135
"136SUR1GGMM14" "136SUR" "Tara Oceans Expedition (2009-2013)" "TARA_136" "2011-11-30T16:20" 17.0854 -118.8913 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Trades Biome" "[NPO] North Pacific Ocean (MRGID:1908)" "[NPTG] North Pacific Tropical Gyre Province (MRGID:21487)" 24.612275 NA 0.012660564 0 0.567577511 0.0145 0.00799121 0.242 0.3115 1.7995 0.042 0.0528 5.2759e-05 201.518375 34.524725 23.0995 14.5951 0.184438 58.96214294 0.000143055 44.027778 52.032523 16.754029 18.009218 12.956712 "autumn" "late" 490.6032 0.000352 0.000789 0.002433 1.639171 0.150442 0.076614 671 0 365 "non polar" -0.588642 0.071185 NA 0.002 0 0.0109 0.0051 7e-04 0 NA NA 43 54 13 370 48 0.14708 0.011 0.0115 0 0.0046 0 0.0109 0.0051 0.002 0 7e-04 0.0333 0.0057 0 0.0019 0.0654 0.0027 9e-04 0.0045 0.0169 0.0213 0.0566 0.0914 0.1481 0 0.0078
"137SUR1GGMM14" "137SUR" "Tara Oceans Expedition (2009-2013)" "TARA_137" "2011-12-02T14:12" 14.2035 -116.6261 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Trades Biome" "[NPO] North Pacific Ocean (MRGID:1908)" "[PNEC] North Pacific Equatorial Countercurrent Province (MRGID:21488)" 26.478605 NA 0.016200179 3.740793 3.006373823 0.067 0.02376498 2.444 0.456 2.538 0.014 0.00421 4.212e-06 195.77195 33.84798 22.01524 25.4964 0.251665 64.79541397 0.00026264 0 53.022237 22.246192 21.311101 12.714261 "autumn" "late" 453.4002 0.000386 0.001028 0.002665 1.755806 0.175867 0.099633 681 0 365 "non polar" 0.075315 0.032361 7.994835 0.0044 0 0.0118 0.0081 0.0022 0 12.327003 448.50297 29 39 13 630 44 0.40468 0.0178 0.0188 0 0.0092 0 0.0118 0.0081 0.0044 0 0.0022 0.0635 0.0121 0 0.0045 0.0914 0.0039 0 0.0058 0.0388 0.0447 0.0749 0.1666 0.2415 0.0039 0.0127
"138DCM1GGMM14" "138DCM" "Tara Oceans Expedition (2009-2013)" "TARA_138" "2011-12-11T13:27" 6.3378 -102.9538 "DCM" "[DCM] deep chlorophyll maximum layer (ENVO:01000326)" "60" "Trades Biome" "[NPO] North Pacific Ocean (MRGID:1908)" "[PNEC] North Pacific Equatorial Countercurrent Province (MRGID:21488)" 17.291965 NA 0.013172547 25.65001 2.891272922 0.464 0.020416232 12.904 1.108 8.073 0.066 NA 4.689e-06 41.52515 34.664045 25.194555 20.21 0.219944 NA NA 0 44.848182 NA NA NA "autumn" "late" 820.0506 0.000303 0.000433 0.002088 2.388755 0.12968 0.048243 706 0 365 "non polar" -0.002795 0.020154 NA 0.0089 0 0.0475 0.0132 0.0027 0.0018 NA NA 42 53 14 120 48 0.22659 0.0355 0.0383 0 0.0135 0 0.0475 0.0132 0.0089 0.0018 0.0027 0.0832 0.0053 0.001 0 0.0529 0.0024 0 0.0329 0.0775 0.1194 0.0893 0.1978 0.2933 0 0.0216
"139SUR1GGMM14" "139SUR" "Tara Oceans Expedition (2009-2013)" "TARA_139" "2011-12-15T14:16" 6.4998 -94.9527 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Trades Biome" "[NPO] North Pacific Ocean (MRGID:1908)" "[PNEC] North Pacific Equatorial Countercurrent Province (MRGID:21488)" 26.396617 NA 0.016344247 2.969288 3.953974664 0.0995 0.041543466 4.49825 0.55525 3.454 0.018 0.0045 4.504e-06 183.942 33.205433 21.557358 27.5278 0.348423 NA NA 13.861111 52.041011 NA NA NA "autumn" "late" 665.1344 0.000476 0.001655 0.003287 1.908432 0.233613 0.154627 705 0 365 "non polar" -1.751306 0.029167 7.981318 0.02775 0 0.0769 0.06825 0.00935 0.0028 12.680073 458.240202 20 22 13 438 22 0.12938 0.0655 0.09065 0.0133 0.02845 0 0.0769 0.06825 0.02775 0.0028 0.00935 0.2313 0.02445 0.00065 0.0048 0.1813 0.0157 0.0053 0.018 0.12975 0.14775 0.1386 0.5888 0.74065 0.0182 0.04055
"140SUR1GGMM14" "140SUR" "Tara Oceans Expedition (2009-2013)" "TARA_140" "2011-12-21T16:20" 7.4122 -79.3017 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Coastal Biome" "[NPO] North Pacific Ocean (MRGID:1908)" "[CAMR] Central American Coastal Province (MRGID:21494)" 26.555663 NA 0.017845567 0 1.657347609 0.0043 0.015867431 0.00275 0.09345 0.63375 NA 0.0348 3.4839e-05 205.411 28.922675 18.28625 28.5982 0.182274 70.19355392 0.000346121 2 46.198533 23.370476 14.686458 16.031385 "autumn" "late" 490.8533 0.000414 0.001272 0.002864 1.782691 0.191843 0.110938 702 0 365 "non polar" 0.254223 0 8.078013 0.0037 0 0.01655 0.04365 0.0054 0.00445 9.035155 321.70056 26 42 14 360 52 0.52326 0.0148 0.0258 0 0.0149 0 0.01655 0.04365 0.0037 0.00445 0.0054 0.04335 0.01825 0.00165 0.00365 0.16525 0.0029 0.00165 0.0053 0.0333 0.03855 0.0726 0.32315 0.3957 0.00475 0.0338
"142SUR2GGMM14" "142SUR" "Tara Oceans Expedition (2009-2013)" "TARA_142" "2012-01-09T13:41" 25.5264 -88.394 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Coastal Biome" "[NAO] North Atlantic Ocean (MRGID:1912)" "[CARB] Caribbean Province (MRGID:21466)" 24.98456 NA 0.009340256 0 0.254889735 0.0195 0.04348362 0.049 0.003 1.218 1.174 1.168249602 0.00116825 195.54125 36.177285 24.236425 28.615 0.123459 52.96993256 8.93728e-05 25.75 54.639736 18.336382 17.39767 13.576374 "winter" "early" 398.5282 0.000315 0.000518 0.002177 1.604851 0.156071 0.068816 639 0 365 "non polar" -2.922481 0.044572 8.0769 0.001 0 0.0392 0.018 5e-04 0.0016 10.431768 370.888929 151 160 13 606 975 0.30297 0.0286 0.0284 0 0.0024 0 0.0392 0.018 0.001 0.0016 5e-04 0.0674 0.0076 0.0027 7e-04 0.0394 0 5e-04 0.0085 0.0127 0.0212 0.0592 0.2412 0.3003 0.003 0.0209
"146SUR1GGMM14" "146SUR" "Tara Oceans Expedition (2009-2013)" "TARA_146" "2012-02-15T12:54" 34.6712 -71.3093 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Westerlies Biome" "[NAO] North Atlantic Ocean (MRGID:1912)" "[NAST-W] North Atlantic Subtropical Gyral Province (MRGID:21455) / [GFST] Gulf Stream Province (MRGID:21454)" 19.312775 NA 0.005640432 1.279722 0.61873752 0.2225 0.035152871 0.7375 NA 0.944 1.02 1.105931102 0.001105931 213.9635 36.513137 26.097587 43.9132 0.126112 NA NA 91 49.03794 NA NA NA "winter" "middle" 353.0857 0.000312 0.000481 0.002151 1.78383 0.090292 0.054214 657 0 365 "non polar" -4.060752 0.04793 8.114037 NA NA NA NA NA NA 11.093421 341.340207 NA 218 956 623 220 0.9972 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"147SUR1GGMM14" "147SUR" "Tara Oceans Expedition (2009-2013)" "TARA_147" "2012-02-18T14:22" 33.061 -66.5435 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Westerlies Biome" "[NAO] North Atlantic Ocean (MRGID:1912)" "[NAST-W] North Atlantic Subtropical Gyral Province (MRGID:21455)" 20.150733 NA 0.006327717 0.676878 0.754704962 0.218 0.059786693 0.4035 0.001 0.797 0.8 1.076234408 0.001076234 213.352167 36.57475 25.923533 39.5754 0.1004 53.72685242 2.47683e-05 0 49.994564 21.236944 14.73511 11.837917 "winter" "middle" 466.8747 0.000334 0.00064 0.002308 1.712959 0.103337 0.063591 666 0 365 "non polar" 0.003342 0.034771 8.112692 NA NA NA NA NA NA 10.914525 342.026908 224 230 16 892 230 0.29136 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"150DCM1GGMM14" "150DCM" "Tara Oceans Expedition (2009-2013)" "TARA_150" "2012-03-05T16:10" 35.8777 -37.1969 "DCM" "[DCM] deep chlorophyll maximum layer (ENVO:01000326)" "40" "Westerlies Biome" "[NAO] North Atlantic Ocean (MRGID:1912)" "[NAST-W] North Atlantic Subtropical Gyral Province (MRGID:21455)" 17.585567 NA 0.013435967 0.61356 0.096477222 0.04 0.023812729 0.1745 0 0.8423 0.174 NA 0.001100777 229.097917 36.285033 26.360683 22.4501 0.21402 69.39566422 0.0002832 1.388889 46.987321 0.528088 0.660844 0.352173 "winter" "late" 656.0146 0.000371 0.00089 0.002561 1.79022 0.134803 0.098676 695 0 365 "non polar" -0.032539 0.073051 NA NA NA NA NA NA NA NA NA 106 114 18 263 111 0.48158 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"150SUR1GGMM14" "150SUR" "Tara Oceans Expedition (2009-2013)" "TARA_150" "2012-03-05T09:25" 35.9346 -37.3032 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Westerlies Biome" "[NAO] North Atlantic Ocean (MRGID:1912)" "[NAST-W] North Atlantic Subtropical Gyral Province (MRGID:21455)" 17.627142 NA 0.013435967 0.120853 0.096477222 0.0355 0.023812729 0.1695 0.0055 0.8358 0.205 1.100776843 0.001100777 229.368083 36.285292 26.349408 NA 0.191003 61.64533043 0.000192719 1.388889 47.015042 16.225385 19.16679 11.673425 "winter" "late" 1394.884 0.000379 0.000941 0.002612 1.79022 0.135721 0.099594 695 0 365 "non polar" -0.032539 0.073051 8.111959 NA NA NA NA NA NA 11.76642 342.260448 77 92 15 632 90 0.54808 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"151SUR1GGMM14" "151SUR" "Tara Oceans Expedition (2009-2013)" "TARA_151" "2012-03-09T08:59" 36.1715 -29.023 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Westerlies Biome" "[NAO] North Atlantic Ocean (MRGID:1912)" "[NAST-E] North Atlantic Subtropical Gyral Province (MRGID:21467)" 17.303005 NA 0.021044872 0.296016 0.306125077 0.019 0.036169071 NA 0.0125 0.6545 0.137 1.299509817 0.00129951 232.28725 36.229605 26.38564 16.2202 0.111686 45.39796066 0.000111067 37.583333 46.616433 25.012121 23.803089 17.942359 "winter" "late" 387.5094 0.00032 0.00054 0.002212 1.76176 0.091222 0.052421 704 0 365 "non polar" -0.157861 0.025897 8.09894 NA NA NA NA NA NA 12.299755 355.079251 56 118 14 699 993 1.5662 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"152SUR1GGMM14" "152SUR" "Tara Oceans Expedition (2009-2013)" "TARA_152" "2012-03-19T08:18" 43.6792 -16.8344 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Westerlies Biome" "[NAO] North Atlantic Ocean (MRGID:1912)" "[NAST-E] North Atlantic Subtropical Gyral Province (MRGID:21467)" 14.31675 NA 0.022559946 3.209219 0.32542221 0.3105 0.052923159 2.159 0.1595 1.236 0.125 0.99476193 0.000994762 242.8405 35.99167 26.88634 46.2092 0.191493 67.68513489 0.000200516 6.083333 43.317926 9.22902 12.194012 8.237225 "winter" "late" 614.5118 0.000337 0.00065 0.00233 1.931107 0.121668 0.081462 727 0 365 "non polar" -0.093316 0.033926 8.094865 NA NA NA NA NA NA 13.598671 358.308366 144 505 14 523 521 0.63127 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18DCM1GGMM14" "18DCM" "Tara Oceans Expedition (2009-2013)" "TARA_018" "2009-11-02T14:07" 35.7528 14.2765 "DCM" "[DCM] deep chlorophyll maximum layer (ENVO:01000326)" "60" "Westerlies Biome" "[MS] Mediterranean Sea (MRGID:1905)" "[MEDI] Mediterranean Sea. Black Sea Province (MRGID:21465)" 18.30575 NA 0.009119561 NA 0.010272223 0.0263 0.030015622 0.038 0.0131 0.58135 1.245 NA 0.001387895 238.694625 37.84945 27.375 16.0651 0.076875 43.87895775 9.23505e-05 15.222222 49.617178 0.437326 0.371328 0.242377 "autumn" "middle" 14.2151 0.00034 0.000666 0.00235 1.375 0.052984 0.036214 641 0 365 "non polar" -0.124391 0.066158 NA 0.0017 0 0.0452 0.0118 0.0012 0 NA NA 50 60 58 580 NA 1.0568 0.0136 0.02 0 0.0055 0 0.0452 0.0118 0.0017 0 0.0012 0.0825 0.0067 0 0 0.0821 0 0.0011 0 0.0127 0.0127 0.1774 0.2052 0.3826 0 0.0245
"18SUR1GGMM14" "18SUR" "Tara Oceans Expedition (2009-2013)" "TARA_018" "2009-11-02T08:13" 35.759 14.2574 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Westerlies Biome" "[MS] Mediterranean Sea (MRGID:1905)" "[MEDI] Mediterranean Sea. Black Sea Province (MRGID:21465)" 21.48665 NA 0.009119561 NA 0.010272223 0.01833 0.030015622 0.118 0.0256 0.5571 1.813 1.387895066 0.001387895 208.245 37.89575 26.565263 15.9449 0.013344 43.04259491 8.89881e-05 15.222222 53.056388 19.262582 16.355627 11.631774 "autumn" "middle" 13.8783 0.000308 0.000449 0.002126 1.091875 0.062286 0.045516 641 0 365 "non polar" -0.124391 0.066158 NA 0.001 0 0.0228 0.0103 0.0016 0 NA NA 51 61 60 221 NA 1.0513 0.0053 0.0087 0 0.0033 0 0.0228 0.0103 0.001 0 0.0016 0.0428 0.0133 6e-04 0.0014 0.0541 0 0.0012 0 0.006 0.006 0 0.16 0.16 0 0.0098
"23DCM3GGMM14" "23DCM" "Tara Oceans Expedition (2009-2013)" "TARA_023" "2009-11-18T13:50" 42.1735 17.7252 "DCM" "[DCM] deep chlorophyll maximum layer (ENVO:01000326)" "55" "Westerlies Biome" "[MS] Mediterranean Sea (MRGID:1905)" "[MEDI] Mediterranean Sea. Black Sea Province (MRGID:21465)" 15.180558 NA 0.001431253 NA 0.077471482 0.013 0.027064617 0.05 0.012 1.0505 1.663 NA 0.001387878 224.264417 38.47375 28.613475 18.4584 0.136877 NA NA 3.583333 46.915236 0.054743 0.042189 0.025527 "autumn" "middle" 57.9209 0.00037 0.000861 0.002559 1.786458 0.063264 0.035334 582 0 365 "non polar" -0.354776 0.078584 NA NA NA NA NA NA NA NA NA 12 58 43 160 NA 1.657 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25DCM1GGMM14" "25DCM" "Tara Oceans Expedition (2009-2013)" "TARA_025" "2009-11-23T13:08" 39.4046 19.3886 "DCM" "[DCM] deep chlorophyll maximum layer (ENVO:01000326)" "50" "Westerlies Biome" "[MS] Mediterranean Sea (MRGID:1905)" "[MEDI] Mediterranean Sea. Black Sea Province (MRGID:21465)" 15.181967 NA 0.002326648 NA 0.048666991 0.1055 0.028696594 0.3595 NA 1.354 1.547 NA 0.001387952 229.908917 38.489083 28.626442 14.0094 0.134028 72.95928574 0.000136453 0 46.930593 0.04793 0.10434 0.064432 "autumn" "late" 38.5477 0.000327 0.000561 0.00226 1.845 0.059185 0.044578 587 0 365 "non polar" 0.369749 0 NA NA NA NA NA NA NA NA NA 31 44 39 785 NA 2.035 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32DCM1GGMM14" "32DCM" "Tara Oceans Expedition (2009-2013)" "TARA_032" "2010-01-11T14:17" 23.4183 37.245 "DCM" "[DCM] deep chlorophyll maximum layer (ENVO:01000326)" "80" "Coastal Biome" "[RS] Red Sea (MRGID:4264)" "[REDS] Red Sea. Persian Gulf Province (MRGID:21474)" 26.12925 NA 0.020147547 0.47262 0.00528441 0.01 0.010496082 NA 0.025 0.85 1.024 NA 0.001387787 181.501 40.187042 26.917092 12.1137 0.1566 47.78584671 0.000167967 0 61.353928 0.073201 0.072673 0.074 "winter" "early" 80.7753 0.00038 0.000934 0.002626 1.2725 0.060484 0.051861 648 0 365 "non polar" -0.014886 NA NA 0.0061 0.0102 0.0427 0.0082 0.0016 0.0103 NA NA 96 191 14 202 204 0.40845 0.0463 0.0522 0 0.0046 0.0102 0.0427 0.0082 0.0061 0.0103 0.0016 0.1212 0.0087 0.0038 0 0.1282 0 0.001 0 0.0892 0.0892 0.3959 0.4268 0.8227 0.0067 0.0842
"32SUR1GGMM14" "32SUR" "Tara Oceans Expedition (2009-2013)" "TARA_032" "2010-01-11T07:21" 23.36 37.2183 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Coastal Biome" "[RS] Red Sea (MRGID:4264)" "[REDS] Red Sea. Persian Gulf Province (MRGID:21474)" 25.811708 NA 0.020147547 0.279747 0.00528441 0.01075 0.010496082 0 0.00875 0.8775 1.035 1.387787168 0.001387787 188.341917 39.7709 26.698217 15.588 0.085486 46.90872192 0.000162701 0 60.383532 21.787103 21.629979 22.025048 "winter" "early" 88.3462 0.000368 0.000851 0.002539 1.11375 0.053638 0.045014 649 0 365 "non polar" -0.014886 NA 7.845202 0 0 0.00405 0.00435 0.00075 0 19.33961 717.154657 104 170 13 216 208 0.14872 0.00595 0.0068 0 0.00195 0 0.00405 0.00435 0 0 0.00075 0.01545 0.0025 0 0 0.1032 0 9e-04 0 0.01465 0.01465 0.0855 0.09175 0.17725 0 0.01425
"36DCM1GGMM14" "36DCM" "Tara Oceans Expedition (2009-2013)" "TARA_036" "2010-03-12T11:05" 20.8116 63.5128 "DCM" "[DCM] deep chlorophyll maximum layer (ENVO:01000326)" "20" "Coastal Biome" "[IO] Indian Ocean (MRGID:1904)" "[ARAB] Northwest Arabian Sea Upwelling Province (MRGID:21475)" 25.051687 NA 0.028902045 1.705211 0.002674747 0.277 0.006235578 1.115 0.431 1.4395 1.314 NA 0.001387736 201.599167 36.522781 24.47685 23.0626 0.28292 230.2368011 0.000415422 0 55.179869 1.503932 1.394709 0.651162 "winter" "late" 416.3323 0.000517 0.00191 0.003571 1.736875 0.161699 0.154816 717 0 365 "non polar" -0.03061 0.074837 NA 0.0068 0.00705 0.02395 0.03175 0.0029 0.00365 NA NA 17 3 13 184 90 0.17817 0.0377 0.03755 0.001 0.00925 0.00705 0.02395 0.03175 0.0068 0.00365 0.0029 0.0819 0.0082 0.00045 8e-04 0.0544 0.00725 0.00045 0 0.07515 0.07515 0 0.38985 0.3909 0.00375 0.011
"36SUR1GGMM14" "36SUR" "Tara Oceans Expedition (2009-2013)" "TARA_036" "2010-03-12T06:06" 20.8183 63.5047 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Coastal Biome" "[IO] Indian Ocean (MRGID:1904)" "[ARAB] Northwest Arabian Sea Upwelling Province (MRGID:21475)" 25.681369 NA 0.028902045 1.545287 0.002674747 0.0455 0.006235578 0.1415 0.3575 1.143 1.322 1.387736023 0.001387736 209.807083 36.525962 24.284594 17.3041 0.205491 224.6708984 0.000415422 0 55.862371 17.265706 16.011789 8.675644 "winter" "late" 415.5842 0.000534 0.00203 0.003691 1.374375 0.17013 0.163247 717 0 365 "non polar" -0.03061 0.074837 8.054263 0.00285 0.00225 0.01325 0.0169 0.0022 0.00045 10.95961 397.011643 18 24 13 596 NA 0.17053 0.0208 0.0218 0.0017 0.0065 0.00225 0.01325 0.0169 0.00285 0.00045 0.0022 0.05395 0.0079 0 0.00115 0.07005 0.00845 0.00105 0 0.0456 0.0456 0 0.30155 0.3033 0.00315 0.01085
"38DCM1GGMM14" "38DCM" "Tara Oceans Expedition (2009-2013)" "TARA_038" "2010-03-15T10:02" 19.0235 64.5256 "DCM" "[DCM] deep chlorophyll maximum layer (ENVO:01000326)" "25" "Trades Biome" "[IO] Indian Ocean (MRGID:1904)" "[MONS] Indian Monsoon Gyres Province (MRGID:21471)" 25.607735 NA 0.030032598 0.672791 0.001138785 0.7 0.004277769 1.858 0.417 1.625 1.297 NA 0.001387726 189.0233 36.549506 24.3126 25.3921 0.185922 100.2317429 0.000229281 0 55.851031 1.879871 1.838161 1.024316 "winter" "late" 575.1294 0.000532 0.002011 0.003672 1.61475 0.116339 0.113566 721 0 365 "non polar" 0.005785 0.069484 NA 0.0135 0.0068 0.0589 0.0262 0.0035 0.0056 NA NA 45 162 53 289 117 0.19821 0.0435 0.054 0 0.0085 0.0068 0.0589 0.0262 0.0135 0.0056 0.0035 0.1067 0.0079 0 0 0.1518 0 0.0022 0 0.0961 0.0961 0.0878 0.4255 0.5132 0 0.0295
"38DCM2GGMM14" "38DCM" "Tara Oceans Expedition (2009-2013)" "TARA_038" "2010-03-15T10:02" 19.0235 64.5256 "DCM" "[DCM] deep chlorophyll maximum layer (ENVO:01000326)" "25" "Trades Biome" "[IO] Indian Ocean (MRGID:1904)" "[MONS] Indian Monsoon Gyres Province (MRGID:21471)" 25.607735 NA 0.030032598 0.672791 0.001138785 0.7 0.004277769 1.858 0.417 1.625 1.297 NA 0.001387726 189.0233 36.549506 24.3126 25.3921 0.185922 100.2317429 0.000229281 0 55.851031 1.879871 1.838161 1.024316 "winter" "late" 575.1294 0.000532 0.002011 0.003672 1.61475 0.116339 0.113566 721 0 365 "non polar" 0.005785 0.069484 NA 0.0135 0.0068 0.0589 0.0262 0.0035 0.0056 NA NA 45 162 53 289 117 0.19821 0.0435 0.054 0 0.0085 0.0068 0.0589 0.0262 0.0135 0.0056 0.0035 0.1067 0.0079 0 0 0.1518 0 0.0022 0 0.0961 0.0961 0.0878 0.4255 0.5132 0 0.0295
